Geneid,K70_1,K70_2,K70_3,K70MD_1,K70MD_2,K70MD_3,K70P10_1,K70P10_2,K70P10_3,NKO70_1,NKO70_2,NKO70_3
PLEKHN1,83,93,78,20,14,22,254,200,57,58,39,51
PERM1,17,30,18,7,8,12,80,47,16,12,9,16
HES4,430,606,435,578,620,779,634,502,707,635,529,498
ISG15,112,138,105,407,421,505,230,263,500,102,136,127
AGRN,7416,9115,5898,465,926,1263,9913,8358,2262,5500,4849,6286
LOC100288175,13,18,1,59,69,38,18,18,34,13,8,3
LOC112267874,3,2,12,0,7,4,6,4,1,3,4,0
LOC105378948,7,11,0,28,39,13,13,7,19,6,6,3
RNF223,6,5,4,8,7,21,20,26,20,5,6,10
C1orf159,162,264,194,81,73,127,381,305,133,218,188,258
LINC01342,0,0,0,0,0,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0,0,0,1,0,0
MIR200A,0,0,0,0,0,0,0,0,0,0,0,0
MIR429,0,1,0,0,0,0,0,0,0,0,0,0
TTLL10-AS1,0,0,2,0,0,0,0,1,0,0,0,1
TTLL10,0,0,3,0,0,0,0,0,0,0,0,1
TNFRSF18,0,5,0,0,0,0,0,1,0,1,0,0
TNFRSF4,0,0,0,0,0,0,3,2,2,0,0,2
SDF4,2571,3208,2244,1085,1255,1539,3945,3721,1796,2060,1835,2391
B3GALT6,539,572,459,336,366,402,841,674,447,455,543,557
C1QTNF12,4,4,3,1,0,0,19,26,2,1,5,3
UBE2J2,1441,1655,1175,1199,1263,1385,1159,1068,1383,1935,1688,2003
LINC01786,4,0,3,0,0,0,37,48,2,0,3,0
SCNN1D,14,8,6,3,5,1,70,115,7,6,5,9
ACAP3,350,449,329,53,86,80,731,617,194,259,215,290
MIR6726,0,0,0,0,0,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0,0,0,0,0,0
PUSL1,418,415,306,243,293,299,314,282,404,486,448,430
INTS11,1421,1738,1153,623,722,930,1666,1655,801,1224,1051,1313
MIR6727,0,0,0,0,0,0,0,0,0,0,0,0
CPTP,908,1075,817,328,433,558,1312,1242,613,697,564,784
TAS1R3,16,19,3,1,0,0,23,22,2,9,4,8
DVL1,815,1073,734,165,186,316,1952,1689,423,709,722,784
MIR6808,0,0,0,0,0,0,0,0,0,0,0,0
MXRA8,69,77,36,11,4,17,242,182,40,40,24,39
AURKAIP1,3494,4378,2897,4475,5142,5179,2758,2350,4742,5079,4432,4982
CCNL2,299,306,231,212,262,229,811,750,251,290,223,283
MRPL20-AS1,292,399,228,151,145,196,380,320,260,332,315,284
MRPL20,2129,2508,2063,2320,2588,2593,1266,1264,2300,3124,3034,2984
LOC107984868,0,0,3,1,0,0,1,1,0,0,2,0
ANKRD65,194,286,172,75,103,132,321,279,110,187,197,222
LOC105378585,95,155,58,56,102,86,69,44,62,89,109,114
TMEM88B,7,2,7,0,0,0,5,5,0,8,1,5
LINC01770,1,1,2,0,0,1,2,3,0,0,0,2
LOC107985729,2,0,0,0,0,1,0,0,0,0,0,2
VWA1,638,712,504,106,101,164,867,697,266,363,321,450
ATAD3C,3,9,5,4,0,0,6,9,0,0,0,0
ATAD3B,325,462,280,150,145,203,754,793,248,490,426,567
ATAD3A,971,1328,858,235,238,364,1778,1688,545,1100,955,1125
TMEM240,3,5,3,2,0,3,6,0,0,0,7,0
SSU72,2916,3513,2746,2419,2549,3217,2555,2632,3214,3726,3416,3605
FNDC10,367,371,371,128,177,284,755,738,362,255,218,270
LOC105378586,65,79,73,16,26,68,155,149,73,45,29,45
MIB2,238,398,214,114,103,177,683,631,235,170,194,190
MMP23B,12,9,16,1,3,4,49,39,18,18,15,9
CDK11B,278,401,256,68,62,121,839,825,166,199,172,216
SLC35E2B,419,557,385,73,70,93,961,832,242,252,209,297
MMP23A,0,0,1,0,1,0,3,2,1,0,0,0
CDK11A,209,286,177,47,51,74,710,643,120,162,109,156
SLC35E2A,142,204,137,37,24,50,365,368,113,96,90,87
LOC112268218,54,98,50,18,13,37,74,73,50,59,48,74
NADK,1470,1839,1153,589,649,836,2006,1847,1121,1371,1233,1412
GNB1,10536,12946,9836,3358,3636,4876,12180,11982,7078,10806,10095,11188
LOC105378949,36,69,38,10,23,6,38,54,17,85,44,63
CALML6,0,0,0,0,0,0,6,6,2,0,0,0
TMEM52,86,104,100,20,59,69,79,65,72,94,81,116
CFAP74,5,5,10,7,21,18,44,47,29,7,6,8
LOC107984872,4,3,4,0,0,2,17,16,8,2,0,9
LOC105378589,0,0,0,0,0,0,1,0,0,0,0,0
GABRD,14,8,23,2,7,2,17,14,15,4,8,27
LOC105378590,0,0,0,3,0,0,0,0,0,0,0,0
LOC105378591,4,6,4,0,0,0,6,3,3,0,0,1
PRKCZ,775,974,688,443,473,550,1351,1321,752,759,669,828
PRKCZ-AS1,33,27,21,6,0,6,10,19,4,17,6,10
FAAP20,1220,1730,1139,1193,1350,1696,1416,1239,1527,1477,1165,1242
LOC112268219,56,101,69,8,15,25,103,114,35,39,30,44
LOC105378593,0,7,0,5,0,1,7,9,0,1,1,0
?,1,1,0,0,0,0,12,13,3,4,0,3
SKI,1810,2468,1714,370,584,954,4437,4305,1160,1234,1107,1484
MORN1,146,182,116,42,38,43,344,285,136,112,132,147
LOC100129534,25,39,32,4,9,1,142,130,21,17,7,19
RER1,4400,5064,3713,6027,6971,6798,4130,3543,5799,5636,5064,5635
PEX10,1341,1650,1095,871,963,1093,1287,1227,1193,1353,1264,1559
PLCH2,360,462,317,141,190,190,1197,1058,249,221,183,262
PANK4,614,729,536,265,364,415,820,847,458,539,484,623
HES5,30,37,15,4,13,8,26,17,8,13,17,18
TNFRSF14-AS1,1,5,3,7,0,0,3,1,0,2,3,1
TNFRSF14,4,3,2,3,0,0,4,1,2,3,4,1
LOC100996583,0,0,1,0,0,0,1,1,0,0,0,0
PRXL2B,787,1085,676,118,132,216,993,883,558,814,766,788
MMEL1,154,244,130,20,24,38,192,229,109,177,136,179
MMEL1-AS1,0,0,0,2,0,0,0,1,0,0,0,0
TTC34,5,4,4,1,1,0,22,24,3,3,4,4
LOC105378603,0,0,0,0,0,0,0,0,0,0,0,0
LOC105378602,0,0,0,0,0,0,0,0,0,0,0,0
LOC105378601,0,0,0,0,0,0,0,0,0,0,0,0
LOC112268220,0,0,0,0,0,0,0,0,0,0,0,0
LOC107985732,0,0,0,0,0,0,0,0,0,0,0,0
LOC105378600,0,0,0,0,0,0,0,0,0,0,0,0
LOC105378598,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984904,0,0,0,0,0,0,0,0,0,0,0,0
LOC105378599,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0
PRDM16-DT,4,10,15,9,5,6,28,36,5,2,8,3
PRDM16,80,129,76,17,16,10,148,132,27,38,36,41
MIR4251,0,0,0,0,0,0,0,0,0,0,0,0
LOC105378606,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984909,0,0,0,0,0,0,0,0,0,0,0,0
LOC105378605,0,0,0,0,0,0,0,0,0,0,0,0
LOC105378604,3,3,1,7,6,5,5,8,5,3,3,2
ARHGEF16,361,388,353,64,60,100,628,538,146,263,251,347
MEGF6,171,166,143,45,43,77,989,750,161,84,51,80
LOC105378608,0,1,0,0,0,0,0,0,0,0,0,0
MIR551A,0,0,0,0,0,0,0,0,0,0,0,0
LOC105378607,0,1,0,0,0,0,0,0,0,0,0,0
TPRG1L,1070,1169,990,1060,1202,1463,1674,1475,1515,1275,1129,1225
WRAP73,789,808,693,457,488,576,878,805,743,871,840,920
TP73,1640,2020,1428,117,168,290,2103,2127,535,859,786,1061
LOC105378610,0,0,0,0,2,0,2,0,0,0,0,0
LOC105378609,0,0,0,0,0,0,0,0,0,0,0,0
TP73-AS1,129,162,123,49,63,60,245,253,96,67,83,94
CCDC27,3,9,2,0,8,2,16,16,2,0,1,0
SMIM1,0,5,4,3,9,12,15,12,12,0,2,2
LRRC47,2039,2560,1829,832,1077,1286,2690,2489,1509,2043,1986,2125
CEP104,398,615,394,124,117,190,1636,1666,232,289,248,267
DFFB,179,244,151,49,53,54,141,112,95,239,241,207
LOC107984910,2,4,0,0,2,0,13,7,1,6,3,2
C1orf174,1123,1272,1078,734,807,923,873,741,1049,1328,1347,1424
LINC01134,3,8,1,3,9,13,14,14,8,14,8,6
LINC01346,0,0,0,0,0,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0,0,0,0,0,0
LINC02780,0,0,0,0,0,0,0,0,0,0,0,2
LINC01777,0,2,0,0,1,3,0,2,0,0,0,0
LOC105376674,0,0,0,0,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0,0,0,0,0,0
LOC107985376,0,0,0,3,6,9,0,2,0,0,2,0
AJAP1,0,3,0,1,0,6,4,0,1,6,0,0
LINC02781,0,0,0,0,0,0,0,0,0,0,0,0
LOC102724429,0,0,0,0,0,1,0,0,0,0,0,0
LINC02782,0,0,0,0,0,0,0,0,0,0,0,0
LOC105376682,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984911,0,0,0,0,0,0,0,0,0,0,0,0
LOC105376686,0,0,0,0,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,3,0,0,0,0,0
NPHP4,193,226,159,43,77,82,666,591,156,101,88,101
KCNAB2,773,1087,684,115,168,254,1683,1534,488,400,334,391
CHD5,14,23,12,3,4,12,104,92,7,4,6,3
LOC105376687,0,0,0,0,0,0,0,0,0,0,0,0
RPL22,11530,14381,10365,13409,16011,17735,8835,7249,12749,13963,13281,13668
LOC107985733,0,6,0,0,2,0,5,5,2,0,2,0
LOC102724450,1,0,2,4,1,2,7,0,1,7,5,1
RNF207,42,48,33,11,5,3,89,96,25,24,30,16
ICMT,4589,5440,3841,2559,2727,3159,6910,6087,4720,4828,4674,5078
LINC00337,28,16,15,58,90,73,62,61,87,21,24,19
HES3,0,0,0,0,0,0,0,0,0,0,0,0
GPR153,420,540,387,84,121,179,836,746,249,224,229,281
ACOT7,5665,6583,4922,2508,3155,3785,5705,4955,4488,5796,5438,6050
HES2,226,288,176,135,154,191,1079,886,259,138,126,182
ESPN,106,139,102,27,38,49,221,159,96,50,29,40
MIR4252,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF25,17,15,3,1,2,8,68,71,5,7,5,5
PLEKHG5,129,209,153,27,41,39,462,435,78,118,61,108
NOL9,537,730,529,182,200,350,1373,1344,344,512,496,479
TAS1R1,2,0,1,4,3,5,8,4,3,0,1,0
LOC107984912,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB48,156,197,167,162,206,214,369,389,215,172,150,198
KLHL21,1252,1448,970,540,652,921,2769,2505,1091,962,1058,1097
LOC107984913,7,6,0,3,2,2,21,21,2,2,0,9
PHF13,992,1107,825,248,350,475,1287,1090,737,708,621,711
THAP3,911,1040,753,336,496,576,1634,1448,604,752,764,984
DNAJC11,1655,2027,1420,412,576,802,3533,3340,1049,1356,1224,1563
LINC01672,0,0,0,0,0,0,0,0,0,0,0,0
CAMTA1-DT,14,23,10,6,6,8,11,9,6,9,17,0
CAMTA1,817,1106,765,1364,1685,1917,634,574,1048,1151,977,1089
LOC105376692,0,0,0,0,0,0,0,0,0,0,0,0
CAMTA1-AS2,0,0,0,0,0,0,0,0,0,0,0,0
CAMTA1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LOC105376691,0,0,0,0,0,0,0,0,0,0,0,0
LOC105376689,5,6,3,12,24,19,54,62,11,5,3,7
VAMP3,3553,4156,3393,4699,5082,6238,4115,3814,4972,4229,3915,4049
PER3,166,211,149,11,6,20,190,185,51,68,79,92
UTS2,0,0,0,0,0,3,0,0,3,0,0,0
TNFRSF9,6,6,11,32,34,28,96,84,37,11,3,5
PARK7,7678,8989,6403,9136,11454,11178,4878,3993,8875,10335,9782,9230
ERRFI1,740,928,707,1321,1316,1720,2037,1907,1725,934,857,887
LOC107984915,0,0,0,0,8,2,3,7,0,1,0,1
LINC01714,0,0,0,1,0,6,0,0,0,0,0,0
LOC105376695,0,0,0,1,0,5,0,0,1,0,0,0
SLC45A1,52,44,29,12,8,29,61,64,19,21,15,11
RERE,1251,1691,1287,356,421,681,2602,2827,849,900,769,984
RERE-AS1,0,0,0,0,0,0,2,0,1,0,0,2
SNORD128,0,0,0,0,0,0,0,0,0,0,0,0
ENO1,85776,98438,75166,46376,50690,52261,43650,40899,61513,106907,97852,103057
MIR6728,0,0,0,0,0,0,0,0,0,0,0,0
ENO1-AS1,59,43,27,37,42,40,33,51,49,47,43,31
LOC112268261,6,1,0,0,2,1,2,5,1,0,0,2
CA6,0,0,1,6,1,8,0,1,0,3,0,0
SLC2A7,0,2,0,0,2,2,3,4,7,0,0,0
SLC2A5,1,0,1,0,3,4,10,19,5,0,0,1
?,84,93,87,14,5,16,252,283,26,33,28,29
GPR157,58,105,45,4,12,32,213,225,22,43,39,26
MIR34AHG,0,0,0,0,2,0,7,8,0,0,0,0
MIR34A,0,0,0,0,0,0,0,0,0,0,0,0
LNCTAM34A,0,0,0,0,0,0,0,0,0,0,0,0
H6PD,1005,1122,883,65,146,148,1937,1755,281,308,293,430
SPSB1,569,719,471,191,221,301,818,823,396,357,347,407
LINC02606,15,6,8,3,5,2,8,4,0,5,0,5
SLC25A33,1110,1287,964,2268,2782,2707,1153,997,2395,1627,1491,1412
TMEM201,1386,1669,1146,151,176,358,1784,1607,610,1180,1045,1293
LOC107985734,13,9,7,0,1,1,20,45,8,4,6,3
LOC105376712,0,0,0,0,0,0,0,0,0,0,0,0
PIK3CD,66,57,74,24,30,43,385,341,86,26,19,34
PIK3CD-AS1,0,0,0,0,0,0,0,0,0,0,0,0
PIK3CD-AS2,1,2,1,0,2,0,0,0,1,0,0,0
CLSTN1,4551,5670,3812,877,1166,1916,11105,10057,2333,2889,2748,3586
CTNNBIP1,1749,2158,1672,1919,2181,2146,1667,1370,2272,1872,1734,1900
LOC105376717,260,333,255,337,437,406,243,239,359,330,285,295
LZIC,930,1075,787,598,712,854,1142,1079,767,919,814,893
NMNAT1,134,156,108,122,131,175,725,644,175,129,132,127
MIR5697,0,0,0,0,0,0,0,0,0,0,0,0
RBP7,1,0,0,0,3,0,0,0,1,0,0,0
UBE4B,1757,2203,1603,287,345,470,3004,2965,761,1094,957,1381
KIF1B,955,1326,862,198,268,408,2449,2243,360,397,403,536
LOC105376725,1,0,0,0,2,0,0,0,0,0,0,0
PGD,15973,17936,14158,4489,5254,5772,10292,8937,8921,8277,7423,8806
CENPS,104,64,61,78,110,84,77,37,107,155,117,110
CENPS-CORT,0,0,0,0,0,0,0,0,0,0,0,0
CORT,1,0,1,0,0,0,4,1,0,1,1,0
DFFA,841,943,671,855,1038,1077,2128,2069,967,985,812,882
PEX14,767,908,639,349,425,414,840,786,572,786,711,773
CASZ1,415,507,382,68,117,198,1272,1285,249,268,250,372
LOC105376733,0,0,0,8,3,3,1,0,0,0,0,0
LOC105376735,0,0,0,2,0,2,2,2,3,1,1,0
C1orf127,0,0,5,0,1,0,2,1,2,1,0,0
TARDBP,2995,3476,2514,1203,1243,1712,3317,2825,1727,3582,3527,3882
MASP2,15,5,15,1,0,2,13,16,1,6,2,7
SRM,4015,5043,3704,2243,2456,3648,3850,3646,2906,5228,4690,4921
EXOSC10,1100,1300,1050,321,384,497,2411,2381,629,886,800,1059
EXOSC10-AS1,164,179,123,276,324,303,312,256,276,168,143,178
MTOR,1297,1607,1100,327,541,767,4065,3983,915,896,886,1027
MTOR-AS1,24,26,19,7,8,17,89,59,9,18,19,39
ANGPTL7,0,0,0,0,0,2,4,0,0,0,0,0
UBIAD1,772,818,600,407,555,634,1008,865,700,778,856,876
LOC105376737,0,2,10,16,19,14,37,23,9,0,1,3
LOC105376739,0,0,0,0,1,0,0,0,0,0,0,0
LOC105376740,0,0,0,0,0,0,0,0,0,0,0,0
DISP3,1,6,2,2,0,9,55,47,9,3,2,3
LOC112268221,0,0,0,0,0,5,7,6,0,0,1,0
LINC01647,2,1,4,0,0,0,2,2,3,0,6,5
FBXO2,52,39,36,28,29,36,113,131,59,24,22,23
FBXO44,342,448,337,424,460,511,723,748,577,384,339,313
FBXO6,187,262,175,147,217,188,185,165,239,245,174,230
MAD2L2,2016,2372,1704,2496,2670,2821,1534,1433,2748,2666,2450,2526
DRAXIN,18,11,14,9,20,10,128,76,18,12,14,12
AGTRAP,1796,1914,1378,1973,2159,2195,1466,1331,2316,2098,1946,1920
C1orf167,135,219,136,48,80,89,629,542,96,83,74,77
C1orf167-AS1,0,0,0,0,0,0,0,3,0,0,0,0
MTHFR,470,654,412,102,197,256,1694,1531,291,239,241,333
CLCN6,231,269,226,32,36,59,370,372,66,154,166,155
NPPA-AS1,0,1,5,0,0,0,10,6,0,0,0,0
NPPA,0,3,8,0,2,3,7,13,0,0,0,0
NPPB,0,3,3,71,81,97,15,5,19,0,1,3
RNU5E-1,0,0,0,0,0,0,0,2,0,0,1,0
KIAA2013,1772,2096,1416,803,861,1221,2934,2596,1341,1679,1410,1570
PLOD1,2532,3049,2102,555,648,879,4876,4556,1345,1610,1475,1884
MFN2,4432,5529,3883,1379,1622,2142,8306,8023,2843,3761,3682,4450
MIIP,383,516,368,455,509,624,549,609,563,641,469,515
MIR6729,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF8,3,1,1,0,0,1,2,0,0,1,1,0
MIR7846,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF1B,0,0,1,2,0,0,1,1,4,2,0,0
MIR4632,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984917,0,0,0,0,0,0,0,0,0,0,0,0
VPS13D,447,649,399,179,232,294,1377,1306,204,263,172,264
SNORA59A,5,3,1,0,4,0,5,1,0,3,0,0
LINC02766,0,0,0,0,0,0,1,0,0,0,0,1
DHRS3,1245,1410,1085,1742,1892,1898,1411,1460,2113,1612,1396,1466
MIR6730,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,6,1,7,0,0,0,0,0,0
AADACL3,1,0,0,0,0,1,0,0,0,0,0,0
C1orf158,0,0,0,0,0,2,2,0,1,0,0,0
PRAMEF12,0,0,0,0,0,0,0,0,0,0,0,4
PRAMEF1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01784,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,2,0,0,0,0,0,0
HNRNPCL1,5,9,25,17,8,13,0,8,20,15,12,5
PRAMEF2,0,0,0,0,0,1,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF25,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF34P,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL2,1,1,0,0,0,0,0,0,1,0,0,0
PRAMEF36P,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL4,0,0,0,0,0,0,1,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF33,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0,0,0,0,0,1
PRAMEF19,0,0,0,0,0,0,0,0,1,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF20,0,0,1,0,0,0,0,0,0,0,0,0
LRRC38,0,0,0,0,0,0,0,1,2,1,0,0
LOC102724856,0,0,0,1,0,0,0,0,0,0,0,0
LOC107984918,0,0,0,0,0,0,0,0,0,1,0,0
PDPN,4699,5523,3980,3379,3889,4283,5678,5431,3877,4101,3939,4320
LOC107984919,3,2,1,1,1,0,5,0,2,0,3,7
LOC105378612,5,2,0,1,2,1,3,2,0,0,0,0
LOC105376756,0,0,0,0,0,0,0,0,0,0,0,0
PRDM2,296,409,308,84,129,207,1211,1188,174,151,146,246
KAZN,228,286,209,100,115,136,560,473,212,237,194,193
LOC107985467,0,0,0,1,0,0,0,1,0,0,0,0
LOC107985468,0,0,0,0,0,0,0,0,0,0,0,0
KAZN-AS1,0,0,0,0,0,0,0,1,0,0,3,2
LOC105376759,0,0,0,0,0,2,0,0,0,0,0,0
LOC107985469,1,0,0,2,3,0,1,0,2,0,0,0
TMEM51-AS1,12,8,3,4,2,6,35,31,6,0,5,1
TMEM51,164,218,163,110,148,190,481,416,256,177,148,208
C1orf195,0,0,0,0,0,0,0,0,0,0,0,0
FHAD1,15,16,6,18,4,27,54,37,16,1,5,12
FHAD1-AS1,4,0,2,0,2,1,8,3,1,0,0,1
LOC101927441,3,3,2,22,31,26,19,13,9,7,5,0
EFHD2,3143,3893,2703,1752,2116,2550,3867,3533,2636,3562,3169,3433
CTRC,0,0,0,0,0,0,0,1,0,0,0,0
CELA2A,0,0,0,0,0,1,0,0,0,0,0,0
LOC105376767,0,0,0,0,0,0,0,0,0,0,0,0
CELA2B,0,4,2,0,0,1,3,3,0,0,0,0
CASP9,223,303,219,323,362,386,373,343,352,262,260,297
DNAJC16,288,309,275,65,82,133,660,559,227,245,193,218
SCARNA21B,0,0,0,0,0,0,0,0,0,0,0,0
AGMAT,1,3,0,5,2,2,9,7,3,2,2,4
DDI2,133,211,119,34,48,86,343,351,86,95,94,130
RSC1A1,115,114,81,31,21,35,302,270,65,58,45,90
PLEKHM2,1582,2089,1360,515,582,879,4576,4629,1222,1024,1057,1255
SLC25A34,1,3,0,2,2,5,48,70,9,1,3,4
SLC25A34-AS1,0,0,0,0,0,0,8,7,0,1,0,0
TMEM82,0,0,0,0,0,0,0,0,0,0,0,0
FBLIM1,1421,1922,1280,713,934,1176,4503,4215,1782,959,844,987
UQCRHL,211,293,232,483,585,551,141,116,394,308,271,296
FLJ37453,113,133,103,84,102,65,125,105,78,155,132,131
SPEN,965,1289,897,104,175,284,2596,2615,281,506,436,683
ZBTB17,230,274,189,84,90,136,848,875,170,132,98,188
SRARP,0,0,0,5,0,0,0,0,0,0,0,0
HSPB7,0,0,0,0,0,0,0,3,0,0,0,0
CLCNKA,1,0,0,1,0,0,0,0,0,0,0,0
CLCNKB,0,0,0,7,3,2,1,0,0,0,0,0
FAM131C,149,179,136,22,64,51,267,193,110,99,102,79
EPHA2,2178,2706,1735,403,588,866,4577,4028,1056,1927,1960,2356
LOC101927479,39,35,34,24,32,16,59,77,27,32,11,22
ARHGEF19,209,271,206,113,146,126,341,271,194,237,170,254
ANO7L1,4,8,8,7,10,17,9,18,18,2,0,2
CPLANE2,60,62,43,36,34,25,116,123,41,58,34,40
FBXO42,653,830,570,249,289,411,1059,1045,499,496,483,563
SZRD1,4618,5769,3994,2950,3363,3656,5558,4826,3685,5250,4937,5373
SPATA21,2960,3447,2450,1373,1608,1749,3687,3028,2037,3026,2816,2951
NECAP2,1230,1344,1077,1858,2319,2205,1491,1294,1840,1739,1603,1695
LINC01772,2,2,3,2,2,0,4,10,0,1,0,1
CROCCP3,11,3,4,3,2,0,43,44,0,0,1,9
RNU1-1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01783,0,0,0,0,0,0,0,1,0,0,0,0
?,0,1,0,0,0,0,0,0,0,0,0,0
NBPF1,141,206,125,59,85,132,864,824,154,93,119,148
LOC105376794,32,58,36,28,20,31,168,114,17,29,29,57
CROCCP2,32,67,48,25,23,33,215,134,18,37,45,48
MST1P2,1,1,0,0,2,0,29,25,0,0,0,2
LOC107985736,1,0,0,0,0,0,1,1,0,0,0,0
RNU1-3,0,0,0,0,0,0,0,0,0,0,0,0
ESPNP,0,0,0,0,0,0,1,3,0,0,0,0
?,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-4,0,0,0,0,0,0,0,0,0,0,0,0
MST1L,1,0,2,0,0,0,6,14,0,0,1,0
MIR3675,0,0,0,0,0,0,0,0,0,0,0,0
LOC112267871,0,0,0,0,0,0,4,2,0,0,0,0
LOC105376805,0,0,1,0,0,0,0,0,0,0,0,0
RNU1-2,0,0,0,0,0,0,0,0,0,0,0,0
CROCC,324,505,339,46,64,48,690,686,134,161,208,251
MFAP2,0,0,1,2,0,0,0,2,0,0,0,0
LOC105376806,0,0,0,0,0,0,0,0,0,0,0,0
ATP13A2,1278,1446,1026,306,374,575,2730,2547,820,813,840,1000
SDHB,4358,5044,3835,6142,7098,7217,2996,2537,5311,5575,5273,5520
PADI2,59,80,44,71,130,180,625,529,247,42,65,64
LOC105376808,0,0,0,0,0,0,0,0,0,0,0,0
LINC02783,6,11,4,16,22,8,12,5,9,15,6,10
PADI1,101,165,92,263,244,345,835,766,245,138,124,134
PADI3,10743,13413,9624,6144,7025,8880,16181,15448,9428,12023,11279,12368
MIR3972,4,5,0,2,0,1,1,6,0,3,0,1
PADI4,7,10,5,3,6,8,13,7,3,13,5,7
