© 2000-2019 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
mycophenolic acid	chemical drug	3.48E-08	AKAP12,ATF3,AZGP1,BIRC3,CCN2,CD274,CLDN1,DAPP1,HBEGF,ID3,IL1B,OLR1,TUFT1	150 (13)
RAF1	kinase	6.00E-08	AKAP12,ANKRD1,AREG,CCN5,CLDN1,CRYAB,DUSP4,DUSP5,EMP1,FAS,HBEGF,ID3,IL1B,MGLL,MXD1,PHLDA2,SERPINB7,SMAGP,SPRY2,TUBB2A	170 (17)
Vegf	group	7.53E-08	AKAP12,ANGPTL4,ARHGAP18,ATF3,CASP1,CFLAR,CLDN1,CNN1,CRABP1,CRTAC1,CRYAB,DUSP4,DUSP5,EFNA1,EMP1,FAS,FOSB,GPRC5B,GTDC1,HBEGF,IHH,IL15RA,INSIG1,ISG20,MAZ,NR4A3,PADI1,PHLDA2,SH3TC2,TNFRSF9,XCR1,XDH	196 (17)
beta-estradiol	chemical - endogenous mammalian	8.05E-08	ACER2,ACVR2B,ADGRG2,ANO2,APBB1,AREG,ASB2,ATF3,BCYRN1,BIRC3,CCDC80,CCN2,CCN5,CD274,CITED2,CLDN1,CNN1,DAB2,DDIT4,DFFB,DHRS2,DHRS9,DUSP4,DUSP5,EFNA1,EMP1,FAS,FASN,FGF1,FHL1,FOSB,FSTL1,GJB3,GPC1,HBEGF,HDAC4,HMGCS1,HSD17B6,HTRA3,ID4,IL1B,IL7R,INSIG1,ITGB2,KIF1A,KLK5,KRT13,KRT4,KRT83,LGR5,LZTS3,MGLL,MOBP,MPPED2,MUC1,MVK,MXD1,NCF2,NR4A3,NRTN,OAS1,PADI1,PAPSS2,PLEKHA6,PMM2,PROS1,RASGRF1,RND1,RTP4,RYR3,SAA1,SERTAD4,SPRY2,TFAP2C,TIMP3,TP53I3,TRPC1,TUFT1,UGT8,ULBP2,VAMP1	199 (16)
SB203580	chemical - kinase inhibitor	9.55E-08	ARHGDIB,ATF3,CASP10,CCN2,CD274,CD83,CEACAM1,CRYAB,CYP2J2,EBI3,EFNA1,FAS,FOSB,HSD17B6,IFI35,IFIT3,IL1B,IL1RN,ISG20,KRT23,LMO2,LOR,MXD1,NR4A3,OLR1,RND1,TGM1,TIMP3,UBD,XDH	187 (16)
TP53	transcription regulator	1.22E-07	ACER2,ACSF2,AKAP12,ANKRD1,AREG,ATF3,BIRC3,CAMK2N1,CASP1,CCDC80,CCN2,CCN5,CFLAR,CITED2,CNN1,CRYAB,DBP,DDIT4,DFFB,DHRS9,DNAJC12,DRAM1,DUSP4,DUSP5,EDIL3,EFNA1,EGFL6,FAS,FASN,FHL1,FSTL1,FSTL3,GDF15,GJB3,GPD1,GPR137C,HBEGF,HDAC9,HLA-B,HMGCS1,HSPA1A/HSPA1B,ID3,IFI35,IL1B,IL1RN,IL21R,IL31RA,KCNB1,LGR5,LRRC17,MAP1LC3A,MVK,NEXN,OAS1,OSGIN1,PADI2,PGD,PPIC,RAD23A,SCD,SERPINB6,SFPQ,SLC25A13,SOX2,SQOR,SREBF1,STAG1,TEX15,TIMP3,TKT,TNFAIP2,TNFRSF9,TP53I3,TRIM22,TUBB3,UBD	198 (20)
dexamethasone	chemical drug	1.92E-07	ADGRF4,AKAP12,AKR1C1/AKR1C2,AKR1C3,ANGPTL4,ANKRD1,AREG,ARHGDIA,ATF3,BIRC3,CCN2,CD274,CD83,CEACAM1,CFLAR,CPA4,CPE,CRYAB,CTSV,CYP2J2,DDIT4,DFFB,DHRS9,DUSP4,DUSP5,EFNA1,EMILIN2,FASN,FBP1,FBXO32,FGF1,FOSB,FSTL1,FSTL3,GBP3,GDF15,GLI1,GPC3,HBEGF,HHIP,IFI35,IFI6,IFIT3,IHH,IL1B,IL1RN,IL31RA,IL7R,ISG20,KCNB1,LMO2,MAFF,MATN3,MID1IP1,MUC1,MVK,NMNAT2,NR4A3,NRTN,NTF3,OLFML2B,OLR1,PADI2,PGD,PHLDA2,PMM2,RELB,SAA1,SCD,SLC18A3,SLC25A22,SLCO2A1,SREBF1,ST3GAL5,TFAP4,TIMP3,TNFAIP2,TNFRSF9,UBD,XCR1,ZNF467	185 (15)
KRAS	enzyme	2.27E-07	AKR1B10,AREG,ATF3,BIRC3,CASP1,CCDC80,CCN2,CD274,CEACAM1,CRYAB,DUSP4,DUSP5,EFNA1,EGFL6,FAS,FASN,FOSB,FSTL1,GLI1,GPC3,HBEGF,IFI6,IL1B,ITGB2,LAMP3,MICB,MID1IP1,NCF2,OAS1,SCD,SPRY2,SREBF1,TIMP3,TNFAIP2,VAV1	169 (19)
tetradecanoylphorbol acetate	chemical drug	4.31E-07	ACHE,AKR1B10,ANGPTL4,AREG,BIRC3,C3orf52,CAPG,CASP1,CCN2,CFLAR,CLDN1,CPE,CTSV,DAB2,DBP,DDIT4,DIO3,DUSP5,EBI3,ECM1,FAS,FOSB,FSTL3,GDF15,HBEGF,ID3,IFI35,IL1B,IL1RN,IL31RA,IL7R,ITGB2,KREMEN2,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LOR,LYST,MAFG-DT,NOCT,OAS1,OLR1,PRR9,RELB,RHPN1-AS1,SERPINB7,SLC7A11,SRXN1,TEF,TGM1,TRPC1,ULBP2,XCR1	147 (17)
GNAQ	enzyme	4.59E-07	ANKRD1,AREG,ATF3,CCN2,CITED2,CNN1,CSPG4,CTSV,DUSP5,IL1RN,INSIG1,NR4A3,OAS1,OLR1	181 (19)
ADRB	group	4.76E-07	ANGPTL4,ANKRD1,ATF3,CFLAR,CRYAB,DDIT4,FAS,GDF15,HMGCS1,IFIT3,INSIG1,KLHL6,NR4A3,SLC7A11,SRXN1	156 (17)
ESR1	ligand-dependent nuclear receptor	7.24E-07	ABCA4,ANO2,AREG,ARHGAP18,ATF3,BIRC3,CASP10,CCN5,CD83,CHST2,CLDN1,CNN1,COL16A1,CPE,CTSS,DAB2,DDIT4,DUSP4,DUSP5,EFNA1,FAS,FASN,FHL1,FOSB,GDF15,GJB3,HBEGF,HCP5,HLA-B,IFI6,IL1B,ISG20,KLK5,KRT13,LOR,NCF2,OLR1,PROS1,PSD4,RDH16,RELB,RND1,RTP4,SAMD11,SCD,SCIN,SERPINB6,SFPQ,SLC44A1,SLC7A11,SLC9A8,TFAP2C,TNFAIP2,TP53I3,TRPC1,TTLL11,ULBP2	205 (18)
S100A9	other	8.82E-07	AKAP12,AREG,ATF3,C1S,CASP1,CCN5,CD274,DDIT4,EFNA1,FAS,GFRA3,IL1B,NR4A3,OLR1,RXRG,TNFRSF9	170 (14)
25-hydroxycholesterol	chemical reagent	1.09E-06	ATF3,FASN,FOSB,HMGCS1,IL1B,INSIG1,MAFF,NR4A3,SCD,SREBF1	140 (15)
RELA	transcription regulator	1.10E-06	ANKRD1,ARHGDIB,BIRC3,CCN2,CD274,CITED2,CRYAB,ELMO1,EOMES,FAS,FOSB,GDF15,HLA-B,IL15RA,IL1B,IL1RN,IL7R,LGR5,MUC1,NR4A3,OLR1,RELB,SAA1,SREBF1,TNFAIP2,TUBB3,UBD	202 (18)
OSM	cytokine	1.49E-06	AKR1B10,AKR1C1/AKR1C2,AKR1C3,ATF3,C1S,CGB3 (includes others),CTSV,ECM1,FASN,FOSB,GJB5,HBEGF,HLA-B,IFI35,IL15RA,IL1B,ISG20,LOR,MGLL,OAS1,PTOV1,RAD23A,SAA1,SERPINB8,STX11,TIMP3,TNFAIP2,TRIM22,ULBP2,XDH,ZNF467	178 (19)
GPER1	G-protein coupled receptor	1.56E-06	ATF3,CCN2,DDIT4,DUSP4,DUSP5,FASN,FOSB,RND1,TUFT1	213 (18)
IFNL1	cytokine	2.19E-06	ATF3,CD83,HLA-B,IFI35,IFI6,IFIT3,ISG20,LAMP3,OAS1,RTP4,TRIM22	154 (13)
CD40LG	cytokine	2.33E-06	ATF3,BIRC3,CASP1,CCN2,CD83,CFLAR,DAPP1,DUSP4,DUSP5,EBI3,FAS,FOSB,HSPA1A/HSPA1B,ID3,IFI6,IFIT3,IL1B,IL21R,IL7R,LAMP3,NR4A3,RELB,TFAP4,TNFAIP2,UBD	187 (18)
cycloheximide	chemical reagent	2.70E-06	AREG,BIRC3,CCN2,CFLAR,CITED2,DDIT4,DHRS2,DIO3,ERG,FAS,FOSB,HBEGF,IL1B,IL1RN,IL7R,ISG20,MXD1,OLR1,PSCA,RELB,SCD,TNFAIP2,TRPC1,XDH	183 (16)
cholesterol	chemical - endogenous mammalian	2.80E-06	AREG,ATF3,CASP1,CNN1,FASN,HBEGF,HMGCS1,IHH,IL1B,IL1RN,INSIG1,NCF2,NR4A3,SAA1,SCD,SREBF1,STARD5,TIMP3	195 (21)
LY6E	other	2.98E-06	CCN2,CD274,CD83,IL1B,PSCA,RELB	 
GNA14	enzyme	3.31E-06	AKAP12,ANKRD1,ATF3,CNN1,CSPG4,DUSP5,HBEGF,IL1RN,OLR1,XDH	 
MAPK1	kinase	3.39E-06	ATF3,C1S,CCN2,CHST2,DAB2,EMP1,FOSB,GNG2,HLA-B,IFI35,IFI6,IFIT3,IL1B,IL1RN,ISG20,LAMP3,MMP28,OAS1,PROS1,SPRY2,TNFRSF9,TRIM22,TRPC1	182 (21)
CD24	other	3.91E-06	ATF3,DUSP5,ECM1,GDF15,HSD17B6,ISG20,N4BP3,RELB,SFPQ,TMEM135,TUFT1,ULBP2	 
STAT1	transcription regulator	5.38E-06	C1S,CASP1,CD274,CEACAM1,CTSS,FAS,GBP3,IFI35,IFI6,IFIT3,IL15RA,IL1B,IL31RA,LY96,MUC1,NEURL3,OAS1,PDCD1LG2,RTP4,SMAGP,SREBF1,TRIM22,UBD	138 (15)
SMAD7	transcription regulator	5.41E-06	ACVR2B,AREG,CCN2,CFLAR,CITED2,FAS,FSTL3,HBEGF,HDAC9,ID3,IL1B,SCD,SOX2,TIMP3	154 (21)
SB 216763	chemical toxicant	5.75E-06	CCN2,FASN,FOSB,IL1B,NR4A3,SCD,SOX2,SREBF1	160 (19)
PD98059	chemical - kinase inhibitor	6.49E-06	AKAP12,ANKRD1,AREG,ATF3,CCN2,CCN5,CD83,CFLAR,DIO3,DUSP4,DUSP5,EMP1,FAS,FASN,FOSB,HBEGF,ID3,IL1B,IL1RN,INSIG1,ITGB2,MGLL,MUC1,MXD1,PHLDA2,SERPINB7,SMAGP,SPRY2,SREBF1,TUBB2A	173 (19)
TAF4	transcription regulator	6.61E-06	AREG,CCN2,CLDN1,HBEGF,IL1RN,LOR,LRRC15,MAFF,MXD1,OAS1,TGM1	 
TGFB1	growth factor	7.24E-06	ADGRG2,AKR1C1/AKR1C2,ANGPTL4,ANKRD1,AREG,C1S,CAMK2N1,CASP1,CCN2,CCN5,CD83,CEACAM1,CGB3 (includes others),CITED2,CLDN1,CNN1,COL16A1,CSPG4,CTSS,DAAM1,DAB2,DBP,DDIT4,DUSP4,ECM1,ELMO1,EOMES,FAS,FASN,FBLN5,FHL1,FOSB,FSTL3,GDF15,GLI1,GNG2,GPRC5B,HBEGF,HDAC9,HOTAIR,HOXD1,HSD17B6,HSPA1A/HSPA1B,HSPB2,ID3,ID4,IFIT3,IL1B,IL1RN,ITGB2,NCF2,NMNAT2,NR4A3,OLR1,PHLDA2,RASGRP3,RASSF1,RBMS3,RHOU,RND1,SCD,ST3GAL5,TFAP4,TIMP3,TRPC1,TUBB2A,TUBB3,XDH	220 (21)
EPAS1	transcription regulator	7.92E-06	AKAP12,ANGPTL4,AREG,BIRC3,CACNA1A,CCN2,CCN5,CD274,CITED2,CLDN1,FASN,FHL1,HMGCS1,MAFF,RASSF1,SOX2,SREBF1	45 (4)
CDK19	kinase	8.10E-06	ATF3,DDIT4,DRAM1,FADS2,FAS,HBEGF,HMGCS1,MVK,MXD1,OSGIN1,SLC7A11	 
S100A8	other	9.96E-06	AKAP12,AREG,ATF3,C1S,CASP1,CCN5,CD274,DDIT4,EFNA1,FAS,GFRA3,IL1B,NR4A3,OLR1,RXRG	205 (20)
ELOVL2	enzyme	1.01E-05	FASN,SCD,SREBF1	 
U0126	chemical - kinase inhibitor	1.09E-05	ANGPTL4,AREG,ATF3,BIRC3,CCN2,CCN5,CD274,CFLAR,DAB2,DBP,DHRS2,DUSP4,DUSP5,EMP1,FOSB,GDF15,HBEGF,IFT88,IHH,IL1B,LOR,MUC1,NR4A3,RFTN1,RXRG,SMAGP,SOX2,TIMP3	177 (20)
Map3k7	kinase	1.20E-05	FASN,HBEGF,ID4,IL15RA,IL1B,ISG20,LOR,MVK,SCD	63 (5)
LMNB1	other	1.28E-05	CCN5,CRABP1,CRYAB,FASN,FSTL1,HBEGF,HMGCS1,SCD	 
N-cor	group	1.32E-05	CTSS,FADS2,FASN,HBEGF,IL1B,MCTP1,OLR1,PLA2G3,SCD,SLC44A1,SREBF1	160 (14)
paclitaxel	chemical drug	1.36E-05	AREG,ATF3,BIRC3,CASP10,CCN2,CD274,CFLAR,DHRS2,DUSP4,DUSP5,EMP1,FAS,GDF15,HBEGF,IHH,IL1B,MUC1,RFTN1,SMAGP,SOX2	194 (16)
5-O-mycolyl-beta-araf-(1->2)-5-O-mycolyl-alpha-araf-(1->1')-glycerol	chemical - endogenous non-mammalian	1.50E-05	ATF3,CD83,CHST2,EBI3,HBEGF,IFIT3,IL1B,MGLL,NR4A3,SLC7A11	140 (9)
STAT3	transcription regulator	1.54E-05	ANGPTL4,AREG,CASP1,CCN2,CD274,CD83,CEACAM1,CFLAR,EOMES,FAS,FASN,GBP3,IFI35,IFI6,IFIT3,IHH,IL1B,IL1RN,ISG20,ITGB2,MUC1,NEURL3,OAS1,PDCD1LG2,RNASE7,SAA1,SOX2,SREBF1,TRIM22,UBD	141 (19)
IFN Beta	group	1.56E-05	ATF3,CD274,CD83,HLA-B,IFI35,IFI6,IFIT3,IL15RA,IL1B,IL1RN,INSIG1,OAS1,SPRY2	150 (17)
methylprednisolone	chemical drug	1.77E-05	AKR1C3,CCN2,CITED2,CTSS,CTSV,DAB2,DDIT4,DHRS9,DMD,EFNA1,EMP1,FBLN5,FBXO32,FSTL1,GJB3,GPC1,GPD1,HSPA1A/HSPA1B,ID3,IL1B,IL1RN,INSIG1,MVK,PHLDA2,SCEL,SERPINB7,SLCO2A1,TIMP3	128 (7)
PRKCD	kinase	1.78E-05	BIRC3,C3orf52,GDF15,GLI1,IL1B,IL1RN,LOR,LYST,NOCT,OAS1,RELB,RHPN1-AS1,SOX2,TRPC1,TUBB2A	145 (14)
OGA	enzyme	1.80E-05	ADAMTS17,ADGRG2,AZGP1,CASP1,CEACAM1,CLDN1,CNN1,CPE,CRABP1,CREB5,DAB2,FAS,FBP1,GFRA3,HMGCS1,IFIT3,IL21R,LPXN,MGLL,PHKB,SOX2,THSD1,TIMP3,VSIG1	134 (7)
STAT5A	transcription regulator	1.86E-05	AKR1C3,BIRC3,CEACAM1,CFLAR,CPA4,CYP2J2,DUSP5,EOMES,FAS,FASN,FOSB,IL7R,MAP1LC3A,OAS1,OLR1,SLC7A7,SREBF1,SYTL2,TNFRSF9	196 (18)
MET	kinase	2.08E-05	AREG,CD274,CITED2,CTSV,DAB2,FBXO32,HBEGF,IL15RA,IL1B,MUC1,SOX2	164 (20)
hydrogen peroxide	chemical - endogenous mammalian	2.11E-05	AKR1C1/AKR1C2,ANKRD1,ATF3,BIRC3,CASP1,CCN2,CFLAR,CRYAB,CTSS,DDIT4,DUSP4,FAS,FASN,FBXO32,GDF15,GLI1,HBEGF,HSPB2,ID3,IFI6,IL1B,INSIG1,MAP1LC3A,MUC1,OSGIN1,SLC7A11,TUBB2A	166 (18)
IFNA2	cytokine	2.18E-05	C1S,CEACAM1,FAS,HBEGF,HLA-B,HMGCS1,IFI35,IFI6,IFIT3,IL1B,ISG20,LAMP3,MYH2,OAS1,RASSF1,TRIM22,UBD	138 (17)
FKBP4	enzyme	2.32E-05	CEACAM1,FASN,IHH,IL15RA,SREBF1	 
IL1RN	cytokine	2.44E-05	ATF3,CTSS,HDAC9,IFI6,IFIT3,IL1B,ISG20,LAMP3,OAS1,RTP4,TRIM22,UBD	184 (17)
FGFR2	kinase	2.44E-05	CCN5,CPE,DAB2,DRAM1,FAS,HHIP,IHH,IL1B,KBTBD11,LGR5,PLP1,SOX2	89 (7)
fluticasone propionate	chemical drug	2.56E-05	ANGPTL4,CD83,DDIT4,EBI3,EMP1,FBLN5,HCP5,IL1B,IL1RN,MUC1,OLFML2B,OLR1,PAPSS2,TIMP3	112 (7)
TREM1	transmembrane receptor	2.89E-05	AREG,ATF3,CD274,CD83,DUSP4,EBI3,HBEGF,IL15RA,IL1B,LAMP3,MAFF,OSGIN1,PHLDA2,RHOU,SPRY2	147 (11)
chloropromazine	chemical drug	2.98E-05	CD83,FADS2,HMGCS1,IL1B,MVK,NR4A3,SCD	 
DICER1	enzyme	2.98E-05	ANGPTL4,DHRS2,EOMES,EPHA3,GBP3,GNG2,ID3,IL1B,IL7R,KRTAP2-3/KRTAP2-4,LGR5,MICB,OAS1,PROS1,RAD23A,RFTN1,SERTAD4,SOX2,SPRY2	 
GW9662	chemical reagent	3.03E-05	ANGPTL4,CCN2,CD83,CEACAM1,FASN,GDF15,INSIG1,MID1IP1,MUC1,SREBF1	83 (10)
PAEP	other	3.16E-05	CD274,CD83,HBEGF,MICB,PDCD1LG2	 
FOXO1	transcription regulator	3.16E-05	ANGPTL4,BIRC3,CCN2,CFLAR,CITED2,CTSV,DDIT4,EOMES,ERG,FAS,FASN,FBXO32,FOSB,GPD1,IL1B,IL7R,ITGB2,SCD,SLC25A22,SOX2,SPRY2,SREBF1,TKT,TNFRSF9	170 (23)
PI3K (family)	group	3.20E-05	AKR1B10,AKR1C1/AKR1C2,BIRC3,CD274,CFLAR,DDIT4,FASN,FBXO32,GLI1,IL1B,SREBF1	142 (19)
LY294002	chemical - kinase inhibitor	3.49E-05	AKR1C1/AKR1C2,ATF3,BIRC3,CCN2,CD274,CD83,CFLAR,DHRS2,DUSP4,FAS,FASN,FOSB,GDF15,GPD1,HBEGF,HMGCS1,HSD17B6,IL1B,IL1RN,ISG20,MXD1,NR4A3,RXRG,SCD,SPRY2,SREBF1,VAMP1	164 (19)
IL15	cytokine	3.93E-05	ARHGDIB,CCN2,CD274,CD33,CD83,CEACAM1,DUSP5,EOMES,FAS,FBP1,GPC1,ID4,IFI35,IL15RA,IL21R,IL7R,MICB,MYH2,PGD,RAET1G,RAET1L,TKT,TNFRSF9,ULBP2	160 (17)
DUSP1	phosphatase	4.09E-05	CCN5,GDF15,IFIT3,IL1B,IL1RN,ISG20,MGLL,MXD1,MYH2,OLR1,UBD	186 (20)
SIK1/SIK1B	kinase	4.10E-05	FASN,GPD1,SCD,SREBF1	37 (5)
CBX7	other	4.21E-05	ANKRD1,AREG,CLDN1,CTSS,GDF15	 
4-hydroxytamoxifen	chemical drug	4.22E-05	AREG,ATF3,CCN2,CHST2,COL16A1,DDIT4,DUSP4,DUSP5,FOSB,IL7R,KRT13,LOR,RND1,TUFT1	166 (14)
poly rI:rC-RNA	biologic drug	4.38E-05	ATF3,BIRC3,CD274,CD33,CD83,CEACAM1,CFLAR,DUSP5,EBI3,FAS,GDF15,GLI1,HBEGF,HLA-B,HSPB2,IFIT3,IL15RA,IL1B,ISG20,NR4A3,OAS1,OLR1,PDCD1LG2,RELB,SOX2,TNFAIP2,TP53I3	186 (18)
topotecan	chemical drug	4.76E-05	AKAP12,ATF3,ATRNL1,CD83,CFLAR,CITED2,DUSP5,FAS,FOSB,GDF15,HSPA1A/HSPA1B,RBMS3,SFPQ,TP53I3	125 (7)
cyclosporin A	biologic drug	5.04E-05	ACHE,ATF3,BIRC3,CASP1,CCN2,CD83,CFLAR,DDIT4,EDIL3,FAS,FASN,FOSB,ID3,IL1B,IL31RA,LOR,MICB,MYH2,RFTN1,SCD,SMPDL3B,SOX12,SREBF1,XCR1	172 (18)
TP53COR1	other	5.51E-05	BIRC3,CASP1,CFLAR,FAS,IL1B	123 (7)
R5020	chemical reagent	5.74E-05	AREG,BIRC3,CCN2,DUSP4,DUSP5,HBEGF,IFIT3,MUC1,SAA1	82 (7)
VCAN	other	5.75E-05	ANGPTL4,C1S,CASP1,CPE,EBI3,FAS,FBLN5,IFI6,IL1B,IL1RN,OLFML2B,SMPDL3B,TRIM22	 
UCP1	transporter	6.13E-05	ANKRD1,ASB2,CCDC136,CTSV,FASN,FBXO32,GDF15,IFIT3,IL1B,MAP1LC3A,MYH2,NT5C,PGD	 
Ncoa6	transcription regulator	6.34E-05	AREG,FASN,SCD,SREBF1	99 (13)
Alpha catenin	group	6.54E-05	AREG,BIRC3,C1QTNF2,CTSV,EGFL6,EPHA3,FSTL1,IL1B,RELB,SAA1,TNFAIP2	119 (8)
EGF	growth factor	6.82E-05	AREG,ATF3,CASP1,CCN2,CFLAR,CGB3 (includes others),DIO3,DUSP4,DUSP5,FASN,FOSB,FSTL1,HBEGF,HMGCS1,IL1B,IL7R,MUC1,NR4A3,PHLDA2,SCD,SPRY2,SREBF1,TGM1,TIMP3,TNFAIP1,TNFRSF9	169 (19)
IL4	cytokine	7.09E-05	CAPG,CCN2,CD274,CD33,CD83,CFLAR,CITED2,EOMES,FAS,FASN,FOSB,GBP3,HBEGF,HSPA1A/HSPA1B,ID3,IFIT3,IL15RA,IL1B,IL1RN,IL31RA,IL7R,INPP1,ISG20,ITGB2,LACC1,LOR,MMP28,MUC1,MVK,NABP1,NOCT,NR4A3,PDCD1LG2,PROS1,RASGRP3,SERPINB6,SOX2,TFAP4,TIMP3,TNFRSF9,VIPR2	195 (16)
CLDN7	other	7.59E-05	ARHGDIB,C1S,CCN2,HLA-B,IFI6,MUC1,SCEL,SERPINB7,SLC25A22,SLCO2A1,SYTL2	120 (7)
