Column 1,K70_1,K70_2,K70_3,K70MD_1,K70MD_2,K70MD_3,K70P10_1,K70P10_2,K70P10_3,NKO70_1,NKO70_2,NKO70_3,Entrez Gene Name,Gene Symbol - human (HUGO / HGNC / Entrez Gene),Location,Type(s),Biomarker Application(s),Drug(s),Entrez Gene ID for Human,Entrez Gene ID for Mouse,Entrez Gene ID for Rat
DAPP1,11.40828788,10.95129455,10.73267328,195.894446,152.9245761,199.6242646,78.74680321,78.71120402,91.80044553,11.00423402,13.88796307,13.16357819,dual adaptor of phosphotyrosine and 3-phosphoinositides 1,DAPP1,Cytoplasm,other,,,27071,26377,362046
DDIT4,4599.441398,4731.741483,4301.655451,718.2796355,678.770487,552.9821584,794.5730068,672.2711031,1427.655205,2263.871054,2091.740899,2175.751424,DNA damage inducible transcript 4,DDIT4,Cytoplasm,other,,,54541,74747,140942
DHRS2,416.4025077,407.5446045,426.0871293,6.218871303,8.048661901,5.736329444,55.06355412,78.06603021,90.745268,393.1512701,367.4968689,411.8319463,dehydrogenase/reductase 2,DHRS2,Nucleus,enzyme,,,10202,,
DHRS9,69.40041795,52.40976679,45.07722778,670.0833829,548.6504529,440.5501013,168.1510685,161.2934509,391.4708654,61.02347958,69.43981534,62.05686862,dehydrogenase/reductase 9,DHRS9,Cytoplasm,enzyme,,,10170,241452,170635
DNAJC12,2.852071971,3.128941301,10.73267328,104.1660943,93.90105552,95.22306877,23.68324908,20.00038791,45.372634,8.003079289,9.614743662,5.641533511,DnaJ heat shock protein family (Hsp40) member C12,DNAJC12,Cytoplasm,other,,,56521,30045,619393
DYDC1,0,0.782235325,0,6.218871303,20.12165475,6.883595333,6.512893498,3.87104282,17.93801809,2.000769822,0,0,DPY30 domain containing 1,DYDC1,Other,other,,,143241,69496,688433
DYDC2,1.901381314,14.08023586,2.146534656,26.43020304,61.70640791,36.71250844,29.01198013,14.19382367,72.80724991,8.003079289,2.136609703,7.522044681,DPY30 domain containing 2,DYDC2,Extracellular Space,other,,,84332,71200,688422
EBI3,0.950690657,2.346705976,2.146534656,35.75850999,46.95052776,41.301572,18.35451804,14.19382367,16.88284056,4.001539644,1.068304851,9.402555852,Epstein-Barr virus induced 3,EBI3,Extracellular Space,cytokine,,,10148,50498,680609
EMILIN2,2.852071971,3.911176626,3.219801984,17.10189608,17.43876745,20.650786,72.23390971,72.25946598,10.55177535,1.000384911,6.409829108,17.86485612,elastin microfibril interfacer 2,EMILIN2,Extracellular Space,other,,,84034,246707,316736
ERG,0,0,0,12.43774261,17.43876745,1.147265889,5.920812271,14.19382367,2.11035507,1.000384911,1.068304851,0,ETS transcription factor ERG,ERG,Nucleus,transcription regulator,"prognosis,unspecified application",,2078,13876,170909
FAM133A,0.950690657,5.475647277,4.293069313,27.98492086,38.90186586,27.53438133,23.09116786,30.32316876,13.71730795,1.000384911,6.409829108,3.761022341,family with sequence similarity 133 member A,FAM133A,Other,other,,,286499,,
FBLN5,55.1400581,68.0544733,61.1762377,231.652956,252.1914062,408.4266564,316.1713753,350.9745491,187.8216012,30.01154733,44.86880376,51.71405718,fibulin 5,FBLN5,Extracellular Space,other,,,10516,23876,29158
FBP1,1.901381314,10.95129455,8.586138625,225.4340847,268.28873,232.8949754,22.49908663,26.45212594,50.64852167,18.0069284,14.95626792,6.581789096,fructose-bisphosphatase 1,FBP1,Cytoplasm,phosphatase,,,2203,14121,24362
FLG2,24.71795708,14.86247118,10.73267328,1.554717826,2.6828873,0,0.592081227,3.225869017,0,1.000384911,0,39.49073458,filaggrin family member 2,FLG2,Cytoplasm,other,,,388698,,
FOSB,31.37279168,32.85388366,64.39603969,155.4717826,246.8256316,282.2274086,355.2487363,323.2320755,273.2909815,33.01270207,41.6638892,58.29584628,"FosB proto-oncogene, AP-1 transcription factor subunit",FOSB,Nucleus,transcription regulator,,,2354,14282,100360880
GAS2L1P2,3.802762628,0.782235325,1.073267328,71.51701998,33.53609126,47.03790144,30.78822381,24.51660453,22.15872823,4.001539644,1.068304851,0,growth arrest specific 2 like 1 pseudogene 2,GAS2L1P2,Other,other,,,340508,,
GATA6-AS1,6.654834598,6.257882602,4.293069313,212.9963421,178.4120055,193.8879352,13.61786822,25.80695214,31.65532605,14.00538876,6.409829108,8.462300267,GATA6 antisense RNA 1 (head to head),GATA6-AS1,Other,other,,,100128893,,
GBX1,0,0,1.073267328,20.21133173,13.4144365,18.35625422,18.94659927,6.451738034,5.275887674,1.000384911,1.068304851,6.581789096,gastrulation brain homeobox 1,GBX1,Nucleus,transcription regulator,,,2636,231044,246149
GFRA3,0.950690657,6.257882602,4.293069313,46.64153477,48.29197141,78.01408044,21.31492418,21.29073551,13.71730795,9.0034642,3.204914554,5.641533511,GDNF family receptor alpha 3,GFRA3,Plasma Membrane,transmembrane receptor,,,2676,14587,84422
GGTLC2,0,1.564470651,0,37.31322782,52.31630236,40.15430611,11.84162454,12.25830226,9.496597814,0,0,3.761022341,gamma-glutamyltransferase light chain 2,GGTLC2,Plasma Membrane,enzyme,,,91227,,
GJB4,13.3096692,10.16905923,7.512871297,147.6981934,116.7055976,161.7644903,61.57644762,69.03359696,86.52455786,27.0103926,19.22948732,31.02843431,gap junction protein beta 4,GJB4,Plasma Membrane,transporter,,,127534,14621,117055
GPD1,3.802762628,1.564470651,2.146534656,41.97738129,65.73073886,63.09962388,19.53868049,21.93590932,24.2690833,10.00384911,2.136609703,1.88051117,glycerol-3-phosphate dehydrogenase 1,GPD1,Cytoplasm,enzyme,unspecified application,,2819,14555,60666
GPR1,1.901381314,3.911176626,5.366336641,474.1889368,441.3349609,466.9372167,33.15654872,38.0652544,99.18668828,16.00615858,12.81965822,4.701277926,G protein-coupled receptor 1,GPR1,Plasma Membrane,G-protein coupled receptor,,,2825,241070,25457
GRPR,25.66864774,10.95129455,23.61188122,111.9396834,111.339823,113.579323,110.7191895,118.7119798,62.25547456,26.01000769,20.29779218,29.14792314,gastrin releasing peptide receptor,GRPR,Plasma Membrane,G-protein coupled receptor,"diagnosis,disease progression","68Ga-BBN-IRDye800CW,68Ga-NOTA-BBN-RGD,68Ga-NOTA-RM26",2925,14829,24938
H2BC15,6.654834598,3.911176626,1.073267328,88.61891606,99.26683012,96.37033466,15.98619313,18.0648665,32.71050358,13.00500384,4.273219405,15.04408936,,,,,,,,,
HCP5,16.16174117,10.95129455,24.68514855,105.7208121,111.339823,111.2847912,72.23390971,58.06564231,159.3318078,15.00577367,20.29779218,24.44664521,HLA complex P5,HCP5,Other,other,,,10866,,
HHLA2,2.852071971,2.346705976,2.146534656,20.21133173,17.43876745,21.79805189,14.20994945,12.25830226,23.21390577,5.001924556,0,1.88051117,HERV-H LTR-associating 2,HHLA2,Other,other,,,11148,,
HOXD1,0,1.564470651,1.073267328,7.773589128,12.07299285,20.650786,7.697055953,10.32278085,15.82766302,0,7.478133959,3.761022341,homeobox D1,HOXD1,Nucleus,transcription regulator,,,3231,15429,288151
HSD17B6,12.35897854,14.86247118,21.46534656,111.9396834,80.48661901,112.4320571,83.48345302,59.35598991,100.2418658,11.00423402,14.95626792,14.10383378,hydroxysteroid 17-beta dehydrogenase 6,HSD17B6,Other,enzyme,unspecified application,3-hydroxysteroid dehydrogenase inhibitor,8630,27400,
HSPB2,6.654834598,7.040117928,6.439603969,57.52455955,56.34063331,52.77423088,13.61786822,24.51660453,53.81405428,12.00461893,6.409829108,5.641533511,heat shock protein family B (small) member 2,HSPB2,Cytoplasm,other,,,3316,69253,161476
IGSF23,0,0,0,40.42266347,33.53609126,47.03790144,5.328731044,3.87104282,9.496597814,0,0,0,immunoglobulin superfamily member 23,IGSF23,Other,other,,,147710,70080,502306
IHH,0,6.257882602,1.073267328,13.99246043,13.4144365,26.38711544,24.86741154,24.51660453,24.2690833,7.002694378,2.136609703,3.761022341,Indian hedgehog signaling molecule,IHH,Extracellular Space,enzyme,,,3549,16147,84399
IL21R,50.38660482,62.57882602,72.98217831,7.773589128,2.6828873,2.294531778,15.39411191,11.61312846,8.441420279,17.00654349,12.81965822,29.14792314,interleukin 21 receptor,IL21R,Plasma Membrane,transmembrane receptor,,denenicokin,50615,60504,308977
IL31RA,19.9645038,23.46705976,9.659405953,99.50194084,87.19383727,110.1375253,116.0479205,99.35676572,47.48298907,10.00384911,18.16118247,4.701277926,interleukin 31 receptor A,IL31RA,Plasma Membrane,transmembrane receptor,,,133396,218624,688622
INPP1,2.852071971,3.128941301,9.659405953,26.43020304,50.97485871,35.56524255,18.94659927,32.90386397,25.32426084,1.000384911,8.546438811,2.820766756,inositol polyphosphate-1-phosphatase,INPP1,Cytoplasm,phosphatase,,,3628,16329,316376
ISM2,13.3096692,8.604588578,16.09900992,57.52455955,37.56042221,66.54142155,77.56264075,107.0988514,77.02796005,8.003079289,7.478133959,14.10383378,isthmin 2,ISM2,Other,other,,,145501,,
ITGB2,2.852071971,4.693411952,4.293069313,51.30568825,38.90186586,60.8050921,23.09116786,26.45212594,24.2690833,4.001539644,7.478133959,2.820766756,integrin subunit beta 2,ITGB2,Plasma Membrane,transmembrane receptor,,,3689,16414,309684
ITGB2-AS1,1.901381314,1.564470651,1.073267328,32.64907434,48.29197141,48.18516733,9.473299634,12.90347607,17.93801809,7.002694378,4.273219405,0.940255585,ITGB2 antisense RNA 1,ITGB2-AS1,Other,other,,,100505746,,
IZUMO4,2.852071971,6.257882602,2.146534656,71.51701998,76.46228806,82.60314399,17.76243681,25.16177833,34.82085865,3.001154733,1.068304851,0.940255585,IZUMO family member 4,IZUMO4,Nucleus,other,,,113177,71564,362832
JPH2,0.950690657,5.475647277,9.659405953,48.1962526,37.56042221,43.59610377,40.26152344,23.87143073,22.15872823,17.00654349,22.43440188,6.581789096,junctophilin 2,JPH2,Cytoplasm,enzyme,,,57158,59091,296345
KCNB1,0.950690657,2.346705976,11.80594061,20.21133173,32.19464761,48.18516733,39.66944222,43.22664483,9.496597814,3.001154733,4.273219405,5.641533511,potassium voltage-gated channel subfamily B member 1,KCNB1,Plasma Membrane,ion channel,,dalfampridine,3745,16500,25736
KCNG3,10.45759723,6.257882602,5.366336641,76.18117346,34.87753491,50.47969911,35.52487363,49.03320906,36.93121372,8.003079289,3.204914554,0,potassium voltage-gated channel modifier subfamily G member 3,KCNG3,Cytoplasm,ion channel,,,170850,225030,171011
KCNK9,4.753453285,7.822353253,3.219801984,136.8151687,109.9983793,80.30861221,21.31492418,19.3552141,96.02115567,7.002694378,4.273219405,6.581789096,potassium two pore domain channel subfamily K member 9,KCNK9,Plasma Membrane,ion channel,,"doxapram,halothane",51305,223604,84429
KLHL6,79.85801518,94.65047436,50.44356442,373.1322782,423.8961935,294.8473334,572.5425466,556.7849923,356.6500068,72.0277136,37.3906698,57.3555907,kelch like family member 6,KLHL6,Other,other,,,89857,239743,287974
KRT23,13.3096692,11.73352988,7.512871297,124.3774261,127.4371468,123.904716,29.01198013,36.77490679,67.53136223,12.00461893,16.02457277,15.04408936,keratin 23,KRT23,Cytoplasm,other,,,25984,94179,287678
KRT83,5.704143941,8.604588578,8.586138625,41.97738129,37.56042221,19.50352011,30.19614258,23.87143073,44.31745646,10.00384911,7.478133959,4.701277926,keratin 83,KRT83,Cytoplasm,other,,,3889,100126226,407759
KRTAP2-3,14.26035985,13.29800053,5.366336641,87.06419824,73.77940076,107.8429935,132.0341136,118.066806,113.9591738,15.00577367,14.95626792,12.22332261,,,,,,,,,
KRTAP3-1,2.852071971,6.257882602,5.366336641,150.8076291,194.5093293,199.6242646,59.20812271,43.22664483,58.03476442,11.00423402,0,4.701277926,keratin associated protein 3-1,KRTAP3-1,Cytoplasm,other,,,83896,69473,680071
LCE1E,1.901381314,3.128941301,4.293069313,9.328306954,25.48742935,19.50352011,24.86741154,14.19382367,27.43461591,1.000384911,9.614743662,4.701277926,late cornified envelope 1E,LCE1E,Other,other,,,353135,68694,
LCE1F,41.8303889,20.33811846,30.05148519,433.7662734,413.1646443,419.8993153,113.6795956,144.518932,238.4701229,52.02001538,44.86880376,34.78945665,late cornified envelope 1F,LCE1F,Other,other,,,353137,,
LINC00452,3.802762628,1.564470651,4.293069313,57.52455955,46.95052776,60.8050921,21.9070054,19.3552141,21.1035507,12.00461893,7.478133959,6.581789096,long intergenic non-protein coding RNA 452,LINC00452,Other,other,,,643365,,
LINC00589,5.704143941,8.604588578,3.219801984,77.73589128,53.65774601,73.42501688,39.66944222,34.19421158,37.98639126,9.0034642,22.43440188,15.98434495,long intergenic non-protein coding RNA 589,LINC00589,Other,other,,,619351,,
LINC01133,7.605525255,5.475647277,1.073267328,87.06419824,115.3641539,82.60314399,65.12893498,80.00155162,55.92440935,2.000769822,24.57101158,5.641533511,long intergenic non-protein coding RNA 1133,LINC01133,Other,other,,,100505633,,
LINC01173,0,0,0,23.32076739,37.56042221,28.68164722,2.368324908,4.516216624,9.496597814,0,2.136609703,0.940255585,long intergenic non-protein coding RNA 1173,LINC01173,Other,other,,,106144537,,
LINC01204,8.556215912,6.257882602,6.439603969,94.83778737,83.16950631,79.16134632,30.19614258,38.7104282,92.85562307,37.01424171,16.02457277,19.74536729,long intergenic non-protein coding RNA 1204,LINC01204,Other,other,,,101927528,,
LINC01516,4.753453285,9.386823903,4.293069313,63.74343085,61.70640791,76.86681455,23.68324908,18.0648665,46.42781153,13.00500384,8.546438811,8.462300267,long intergenic non-protein coding RNA 1516,LINC01516,Other,other,,,101929025,,
LINC02321,7.605525255,5.475647277,2.146534656,143.03404,136.8272523,201.9187964,15.98619313,18.7100403,71.75207237,16.00615858,16.02457277,15.04408936,long intergenic non-protein coding RNA 2321,LINC02321,Other,other,,,105370623,,
LINC02669,0,0,0,7.773589128,5.365774601,17.20898833,5.328731044,3.225869017,9.496597814,0,0,0,long intergenic non-protein coding RNA 2669,LINC02669,Other,other,,,101927880,,
LINC02773,0,0,0,18.65661391,9.390105552,14.91445655,4.14456859,9.032433248,5.275887674,0,0,2.820766756,,,,,,,,,
LINC02827,4.753453285,7.822353253,3.219801984,101.0566587,143.5344706,82.60314399,26.05157399,21.29073551,33.76568112,2.000769822,13.88796307,9.402555852,,,,,,,,,
LIPH,23.76726642,28.16047171,20.39207923,634.3248729,543.2846783,500.2079275,317.3555377,292.9089067,294.3945322,37.01424171,27.77592613,28.20766756,lipase H,LIPH,Extracellular Space,enzyme,,,200879,239759,681694
LOC100506178,0,4.693411952,1.073267328,76.18117346,88.53528092,63.09962388,13.025787,11.61312846,17.93801809,0,1.068304851,1.88051117,uncharacterized LOC100506178,LOC100506178,Other,other,,,100506178,,
LOC101927248,39.92900759,50.06306082,32.19801984,1.554717826,8.048661901,17.20898833,12.43370577,4.516216624,9.496597814,39.01501153,64.09829108,42.31150133,uncharacterized LOC101927248,LOC101927248,Other,other,,,101927248,,
LOC101927863,4.753453285,0,0,57.52455955,76.46228806,64.24688977,16.57827436,10.96795466,14.77248549,5.001924556,5.341524257,6.581789096,uncharacterized LOC101927863,LOC101927863,Other,other,,,101927863,,
LOC101928304,1.901381314,0,2.146534656,48.1962526,52.31630236,47.03790144,8.28913718,5.806564231,23.21390577,7.002694378,6.409829108,0.940255585,uncharacterized LOC101928304,LOC101928304,Other,other,,,101928304,,
LOC101928994,3.802762628,0.782235325,8.586138625,77.73589128,71.09651346,56.21602855,30.78822381,32.25869017,24.2690833,1.000384911,5.341524257,13.16357819,uncharacterized LOC101928994,LOC101928994,Other,other,,,101928994,,
LOC101929128,8.556215912,10.16905923,15.02574259,223.8793669,217.3138713,292.5528016,40.85360467,40.00077581,52.75887674,29.01116242,27.77592613,25.3869008,uncharacterized LOC101929128,LOC101929128,Other,other,,,101929128,,
LOC101929638,10.45759723,10.16905923,8.586138625,124.3774261,107.315492,95.22306877,30.78822381,47.74286145,66.4761847,10.00384911,7.478133959,14.10383378,uncharacterized LOC101929638,LOC101929638,Other,other,,,101929638,,
LOC101929846,1.901381314,6.257882602,3.219801984,68.40758433,44.26764046,47.03790144,18.35451804,15.48417128,17.93801809,13.00500384,11.75135336,5.641533511,uncharacterized LOC101929846,LOC101929846,Other,other,,,101929846,,
LOC102546229,26.61933839,38.32953094,34.3445545,0,2.6828873,6.883595333,7.104974725,8.387259444,1.055177535,16.00615858,10.68304851,11.28306702,uncharacterized LOC102546229,LOC102546229,Other,other,,,102546229,,
LOC102724475,7.605525255,14.86247118,9.659405953,82.40004476,76.46228806,91.7812711,92.36467143,87.09846346,145.6144998,16.00615858,20.29779218,9.402555852,uncharacterized LOC102724475,LOC102724475,Other,other,,,102724475,,
LOC102725231,3.802762628,2.346705976,1.073267328,119.7132726,213.2895404,149.1445655,15.98619313,12.90347607,35.87603619,5.001924556,10.68304851,12.22332261,uncharacterized LOC102725231,LOC102725231,Other,other,,,102725231,,
LOC105369301,27.57002905,23.46705976,27.90495053,351.3662286,309.8734832,265.0184203,113.6795956,120.0023274,200.4837316,22.00846804,40.59558435,45.13226809,uncharacterized LOC105369301,LOC105369301,Other,other,,,105369301,,
LOC105370777,0.950690657,0,0,68.40758433,84.51094996,64.24688977,6.512893498,5.806564231,21.1035507,2.000769822,2.136609703,7.522044681,uncharacterized LOC105370777,LOC105370777,Other,other,,,105370777,,
LOC105371069,26.61933839,17.99141248,27.90495053,7.773589128,1.34144365,2.294531778,5.920812271,4.516216624,6.331065209,16.00615858,11.75135336,27.26741197,uncharacterized LOC105371069,LOC105371069,Other,other,,,105371069,,
LOC105371401,0.950690657,3.128941301,1.073267328,35.75850999,22.80454205,17.20898833,13.025787,10.32278085,20.04837316,0,3.204914554,0.940255585,uncharacterized LOC105371401,LOC105371401,Other,other,,,105371401,,
LOC105371493,1.901381314,0.782235325,0,40.42266347,30.85320396,19.50352011,10.06538086,18.0648665,13.71730795,5.001924556,4.273219405,2.820766756,uncharacterized LOC105371493,LOC105371493,Other,other,,,105371493,,
LOC105371855,1.901381314,8.604588578,7.512871297,45.08681694,79.14517536,33.27071077,17.17035559,29.67799496,34.82085865,15.00577367,10.68304851,8.462300267,--,LOC105371855,Other,other,,,,,
LOC105372424,15.21105051,7.822353253,5.366336641,91.72835171,142.1930269,145.7027679,27.82781767,31.61351637,60.14511949,10.00384911,12.81965822,20.68562287,uncharacterized LOC105372424,LOC105372424,Other,other,,,,,
LOC105372501,1.901381314,0,2.146534656,10.88302478,12.07299285,21.79805189,21.31492418,27.74247355,3.165532605,5.001924556,0,2.820766756,uncharacterized LOC105372501,LOC105372501,Other,other,,,,,
LOC105372632,2.852071971,2.346705976,2.146534656,29.53963869,25.48742935,12.61992478,15.39411191,9.677607051,20.04837316,4.001539644,4.273219405,0.940255585,uncharacterized LOC105372632,LOC105372632,Other,other,,,,,
LOC105372663,0.950690657,3.911176626,2.146534656,20.21133173,30.85320396,20.650786,18.94659927,14.19382367,11.60695288,0,0,3.761022341,uncharacterized LOC105372663,LOC105372663,Other,other,,,,,
LOC105372693,0,0,0,4.664153477,5.365774601,8.030861221,4.736649817,8.387259444,6.331065209,0,2.136609703,0.940255585,uncharacterized LOC105372693,LOC105372693,Other,other,,,,,
LOC105373490,0,0,0,17.10189608,4.024330951,14.91445655,2.960406136,9.032433248,11.60695288,1.000384911,3.204914554,0,uncharacterized LOC105373490,LOC105373490,Other,other,,,,,
LOC105373610,49.43591416,50.84529614,57.95643572,3.109435651,6.707218251,11.47265889,10.06538086,10.96795466,9.496597814,27.0103926,26.70762128,47.01277926,uncharacterized LOC105373610,LOC105373610,Other,other,,,,,
LOC105374259,0,0,0,6.218871303,6.707218251,9.17812711,11.24954332,7.096911837,10.55177535,1.000384911,3.204914554,0,uncharacterized LOC105374259,LOC105374259,Other,other,,,,,
LOC105374308,0,0.782235325,0,23.32076739,5.365774601,24.09258366,8.28913718,4.516216624,9.496597814,3.001154733,2.136609703,0,uncharacterized LOC105374308,LOC105374308,Other,other,,,,,
LOC105374309,13.3096692,13.29800053,22.53861389,150.8076291,163.6561253,184.7098081,68.68142235,67.09807555,74.91760498,23.00885296,25.63931643,23.50638963,uncharacterized LOC105374309,LOC105374309,Other,other,,,,,
LOC105375754,9.506906569,17.99141248,22.53861389,104.1660943,85.85239362,75.71954866,90.58842775,85.80811585,53.81405428,9.0034642,17.09287762,23.50638963,uncharacterized LOC105375754,LOC105375754,Other,other,,,,,
LOC105375821,0.950690657,0,0,20.21133173,30.85320396,10.325393,4.736649817,8.387259444,11.60695288,0,4.273219405,3.761022341,uncharacterized LOC105375821,LOC105375821,Other,other,,,,,
LOC105376222,11.40828788,13.29800053,6.439603969,77.73589128,59.02352061,115.8738548,63.94477253,54.83977329,64.36582963,11.00423402,10.68304851,8.462300267,uncharacterized LOC105376222,LOC105376222,Other,other,,,,,
