Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
"Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities"	Skin cancer	1.17E-05	"ABCA4,ABCA8,ACE2,ADAMTS14,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C1QTNF2,C7orf65,CACNA1A,CRABP1,CYP2J2,DAAM1,DAB2,DAPP1,DHRS9,DYDC2,EMILIN2,ERG,FBP1,FLG2,FOSB,GFRA3,GGTLC2,GJB4,GPD1,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,ISM2,ITGB2,JPH2,KCNB1,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LRRC15,MAP6,MOBP,MYH2,NMNAT2,NR4A3,OTOP1,PIFO,RAET1G,RASL10A,RDH16,RFTN1,RFX8,RXRG,RYR3,SAA1,SCEL,SCIN,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,STOML3,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,UBD,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	84
"Endocrine System Development and Function,Energy Production,Lipid Metabolism,Small Molecule Biochemistry"	Oxidation of dihydrotestosterone	1.21E-05	"DHRS9,HSD17B6,RDH16"	3
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Digestive organ tumor	1.27E-05	"ABCA4,ABCA8,ACE2,ADAMTS14,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRABP1,CRTAC1,CTSS,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS2,DHRS9,DNAJC12,DYDC2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,IHH,IL21R,IL31RA,INPP1,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MOBP,MUC1,MYH2,NMNAT2,NR4A3,ODAPH,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,RAET1G,RAET1L,RASGRP3,RDH16,RFTN1,RXRG,RYR3,SAA1,SCEL,SCIN,SIRPB2,SLC18A3,SLCO5A1,SMPDL3B,SPINK2,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBD,UBE2QL1,ULBP2,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	117
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Digestive system cancer	1.77E-05	"ABCA4,ABCA8,ACE2,ADAMTS14,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRABP1,CRTAC1,CTSS,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS2,DHRS9,DNAJC12,DYDC2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,IHH,IL21R,IL31RA,INPP1,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MOBP,MUC1,MYH2,NMNAT2,NR4A3,ODAPH,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,RAET1G,RAET1L,RASGRP3,RDH16,RFTN1,RXRG,RYR3,SAA1,SCEL,SCIN,SIRPB2,SLC18A3,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBD,UBE2QL1,ULBP2,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	115
"Cancer,Organismal Injury and Abnormalities"	Abdominal adenocarcinoma	1.86E-05	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRABP1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS9,DNAJC12,DYDC1,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MUC1,MYH2,NMNAT2,NR4A3,ODAPH,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RFTN1,RTP4,RXRG,RYR3,SAA1,SCEL,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TSPAN11,UBD,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	112
"Humoral Immune Response,Protein Synthesis"	Production of antibody	3.54E-05	"CTSS,DAPP1,IL21R,IL31RA,ITGB2,PDCD1LG2,PLP1,RASGRP3,RFTN1,TNFRSF9,VIPR2"	11
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Quantity of 11-cis-retinol	3.67E-05	"ABCA4,RDH16"	2
Cellular Development	Epithelial to mesenchymal transdifferentiation of pancreatic cancer cell lines	3.67E-05	"AZGP1,MUC1"	2
"Cancer,Endocrine System Disorders,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Growth of pancreatic carcinoma	6.02E-05	"CTSS,FBLN5,MUC1"	3
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Quantity of retinoid	6.64E-05	"ABCA4,CRABP1,OLR1,RDH16"	4
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Large intestine carcinoma	7.04E-05	"ABCA4,ABCA8,ACE2,ADAMTS14,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS9,DNAJC12,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MUC1,MYH2,NR4A3,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,RAET1G,RAET1L,RASGRP3,RFTN1,RXRG,RYR3,SCEL,SCIN,SIRPB2,SLC18A3,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TSPAN11,UBD,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	99
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Large intestine adenocarcinoma	9.59E-05	"ABCA4,ABCA8,ACE2,ADAMTS14,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS9,DNAJC12,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MUC1,MYH2,NR4A3,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,RAET1G,RAET1L,RASGRP3,RFTN1,RXRG,RYR3,SCEL,SCIN,SIRPB2,SLC18A3,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TSPAN11,UBD,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	98
"Cancer,Organismal Injury and Abnormalities"	Pelvic cancer	1.01E-04	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CTSS,DAB2,DDIT4,DHRS9,DYDC1,EMILIN2,ERG,FBLN5,FLG2,FOSB,GBX1,GFRA3,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,ITGB2,IZUMO4,JPH2,KCNB1,KCNK9,KRT23,LY96,MAP6,MUC1,MYH2,NMNAT2,NR4A3,OLR1,OTOP1,PDCD1LG2,PIFO,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RTP4,RXRG,RYR3,SAA1,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	82
"Humoral Immune Response,Protein Synthesis"	Quantity of immunoglobulin	1.04E-04	"CTSS,DAPP1,IL21R,IL31RA,ITGB2,PDCD1LG2,RASGRP3,RFTN1,TNFRSF9,VIPR2"	10
"Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities"	Progressive symmetric erythrokeratoderma	1.10E-04	"GJB4,KRT83"	2
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease"	Female genital tract serous carcinoma	1.17E-04	"ABCA8,CACNA1A,CRABP1,DAB2,ERG,FBLN5,HSD17B6,KCNB1,MUC1,PLP1,RAET1G,SAA1"	12
"Gastrointestinal Disease,Organismal Injury and Abnormalities"	Oral submucous fibrosis	1.61E-04	"LOR,LRRC15,MYH2,UBD"	4
"Cancer,Organismal Injury and Abnormalities"	Cancer of secretory structure	1.74E-04	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CTSS,CYP2J2,DAAM1,DAPP1,DDIT4,DHRS2,DHRS9,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,GBX1,GFRA3,GGTLC2,GPD1,GRPR,HOXD1,HSD17B6,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,LY96,MAB21L4,MAP6,MOBP,MUC1,MYH2,NR4A3,ODAPH,OLR1,OPN1SW,OTOP1,PDCD1LG2,PRR9,RAET1G,RAET1L,RASGRP3,RASL10A,RDH16,RFTN1,RFX8,RTP4,RXRG,RYR3,SAA1,SCEL,SCIN,SH2D1B,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,SPINK2,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TP53I3,TSPAN11,UBE2QL1,ULBP2,VIPR2,VTN,VWA5B1,WSCD2,ZMYND15"	108
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Gastrointestinal adenocarcinoma	1.80E-04	"ABCA4,ABCA8,ACE2,ADAMTS14,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS9,DNAJC12,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MUC1,MYH2,NR4A3,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,RAET1G,RAET1L,RASGRP3,RFTN1,RXRG,RYR3,SCEL,SCIN,SIRPB2,SLC18A3,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TSPAN11,UBD,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	99
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Response of lymphocytes	1.96E-04	"CTSS,DAPP1,EBI3,IL21R,PDCD1LG2,PLP1,TNFRSF9,VTN"	8
"Cancer,Inflammatory Response,Organismal Injury and Abnormalities,Tumor Morphology"	Rejection of tumor	1.99E-04	"IL21R,PDCD1LG2,TNFRSF9"	3
